Site No,Site Name,Street Address,"City, State Zip",County,Enf. Issue,Resolved Date,Violation(SNC) Date
138224,"MNCPPC-Anacostia Riverwalk, Kenilworth Section",East bank of the Anacostia River,"Cheverly,MD,20781",Prince George's,Environmental/Health Impact,04/02/2015,12/10/2014
138246,"Bartholow Rd & Irongate Rd, Sykesville",Bartholow Rd & Irongate Rd,"Sykesville,MD,21784",Carroll,Environmental/Health Impact,12/19/2012,05/03/2012
138261,Canton Crossing Parking Garage,1519 S Clinton St,"Baltimore,MD,21224",Baltimore City,,10/04/2012,07/17/2012
138265,11309 Acton Drive,11309 Acton Drive,"Waldorf,MD,20601",Charles,Environmental/Health Impact,02/13/2013,07/31/2012
138308,Tomkies LLC,2818 Solomons Island Rd,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,03/31/2015,08/01/2014
138320,Leland Avenue LLC,1701 Leland Ave,"Baltimore City,MD,21224",Baltimore City,Environmental/Health Impact,03/17/2017,08/01/2012
138329,64 Wagner Ave,64 Wagner Ave,"Essex,MD,21221",Baltimore,Environmental/Health Impact,02/05/2016,09/17/2012
138361,David and Rachel Warschawski /Marilyn Murphy,3121 Old Court Rd,"Pikesville,MD,21208",Baltimore,Environmental/Health Impact,05/20/2013,08/08/2012
138368,MD SHA-Bridge No 03140-I-695 over Milford Mills Road,I-695 over Milford Mills Road,"Pikesville,MD,21208",Baltimore,Environmental/Health Impact,09/24/2015,05/14/2015
138382,Palisades at Arundel Preserve (Apartments),Arundel Mills Blvd and Dorchester Blvd,"Hanover,MD,21076",Anne Arundel,,09/23/2012,07/25/2012
138385,Johns Hopkins at Mount Washington - Marbury Garage,"6225 Smith Ave, Garage at Marbury Building (under plaza)","Baltimore City,MD,21209",Baltimore City,,09/14/2012,07/31/2012
138391,Annapolis Towne Center at Parole-Greenberg Gibbons,"Annpolis Towne Center, Whole Foods Underground Parking Garage, Sommersville Rd","Annapolis,MD,21401",Anne Arundel,Environmental/Health Impact,05/05/2013,08/06/2012
138394,TU Campus Utility improvement Linthicum Dr,Linthicum Dr and University Ave,"Towson,MD,21204",Baltimore,Environmental/Health Impact,12/06/2012,08/24/2012
138433,"East Coast Underground Directional Bore, sediment discharge",West end of Brittingham St,"Salisbury,MD,21804",Wicomico,Environmental/Health Impact,10/31/2012,08/17/2012
138487,Lakewood Estates,Behind homes 12635 through 12645 Willow View Place,"Waldorf,MD,20602",Charles,Environmental/Health Impact,11/13/2012,08/07/2012
138487,Lakewood Estates,Behind homes 12635 through 12645 Willow View Place,"Waldorf,MD,20602",Charles,Environmental/Health Impact,02/14/2013,08/07/2012
138493,Campus Gardens,2200 Phelps Rd,"Hyattsville,MD,20783",Prince George's,Environmental/Health Impact,08/22/2014,08/08/2012
138525,Cedar Square Homes LLC,634 Whittier Pkwy,"Severna Park,MD,21146",Anne Arundel,Environmental/Health Impact,05/21/2013,08/16/2012
138532,Miller Bottom Ocean Hill Rd,"Miller Bottom Ocean Hill Rd, off Rt.36 south","Midland,MD,21542",Allegany,Environmental/Health Impact,11/26/2012,06/20/2012
138536,Joseph Schmidt,4536 Oakland Sang Run Road,"Oakland,MD,21550",Garrett,Environmental/Health Impact,03/20/2013,07/03/2012
138575,Pitt Ohio Express Inc,151 Blades Ln,"Glen Burnie,MD,21061",Anne Arundel,Environmental/Health Impact,06/10/2014,08/14/2012
138578,Arlene Zarr 842 North Shore Dr,842 North Shore Drive,"Glen Burnie,MD,21060",Anne Arundel,Environmental/Health Impact,01/22/2013,09/05/2012
138596,CAMZ Corporation,9813 Philadelphia Rd,"White Marsh,MD,21162",Baltimore,,,10/08/2020
138706,Doug Clark,5073 Grays Inn Creek Rd,"Rock Hall,MD,21661",Kent,Environmental/Health Impact,04/30/2019,09/06/2012
138707,Maryland Protron Treatment Center,850 W Baltimore St,"Baltimore City,MD,21201",Baltimore City,,11/20/2012,09/19/2012
138778,Near 8841 Willowbrook Rd Frederick,Near 8841 Willowbrook Rd,"Frederick,MD,21702",Frederick,Environmental/Health Impact,03/21/2013,09/18/2012
138805,Budds Creek Pro National Inc-27969 Budds Creek Rd,27969 Budds Creek Rd,"Mechanicsville,MD,20659",St. Mary's,Environmental/Health Impact,04/20/2015,12/11/2012
138824,Baltimore City Infrastructure Rehabilitation - Locust Point,"southeast corner Ander St & Towson St, Locust Point","Baltimore City,MD,21230",Baltimore City,Environmental/Health Impact,05/06/2014,10/03/2012
138853,Roy Droege,535 Maryland Avenue,"Lusby,MD,20657",Calvert,Environmental/Health Impact,09/19/2013,07/05/2013
138929,"MD 26 and Pikeswood Drive, Randallstown",MD 26 and Pikeswood Drive,"Randallstown,MD,21133",Baltimore,Environmental/Health Impact,03/01/2013,10/18/2012
138935,Lockwood Rd pump station Williamsport,Lockwood Rd,"Williamsport,MD,21795",Washington,Environmental/Health Impact,02/13/2015,11/19/2014
138964,Columbia Gas Transmission-Line MB Extension-Owings Mills to Fallston,Owings Mills M and R Station to Rutledge Compresser Station,"Owings Mills,MD,21117",Baltimore,Environmental/Health Impact,01/06/2016,09/17/2015
138988,AA DPW-Broadneck Peninsula Trail,Bay Dale Dr to Pennington Lane,"Annapolis,MD,21409",Anne Arundel,Environmental/Health Impact,04/02/2013,01/30/2013
138992,Gingerville Yachting Center LLC/ Phipps Family Enterprises LLC,2802 Solomons Island Road,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,10/02/2017,10/26/2012
139008,Delvin Mast,3108 Hare Hollow Rd,"Grantsville,MD,21536",Garrett,Environmental/Health Impact,11/07/2012,09/30/2012
139091,FEMA Frostburg Annex Project,"FEMA Frostburg Annex Site, Rte 36","Frostburg,MD,21532",Allegany,Environmental/Health Impact,06/18/2013,10/11/2006
139142,Roberts Field Shopping Center SSO,"735 Hanover Pike, Roberts Field Shopping Center","Hampstead,MD,21074",Carroll,Environmental/Health Impact,05/01/2014,10/24/2012
139180,MCDOT Log House Rd replacement of two roadway culverts,"23819 Log House Rd, Mo ADC 4929H1","Damascus,MD,20872",Montgomery,Environmental/Health Impact,11/24/2014,11/28/2012
139190,American Infrastructure site near MARC Train Station Beltsville,7012-B Muirkirk Rd,"Beltsville,MD,20705",Prince George's,Environmental/Health Impact,05/13/2013,11/09/2012
139271,Warwick Farms LLC Rte 392,"4400 East New Market - Hurlock Rd (Rte 392), Warwick Farms LLC","Hurlock,MD,21643",Dorchester,Environmental/Health Impact,12/04/2012,12/04/2012
139272,Auction Rd Culvert Replacement,Auction Rd,"Federalsburg,MD,21632",Caroline,Environmental/Health Impact,03/14/2013,12/04/2012
139310,Keith Segerson,285 Oyster Bay Drive,"Dowell,MD,20629",Calvert,Environmental/Health Impact,01/07/2015,11/12/2014
139323,BC DPW Improvements to Herring Run Interceptors SC 871,Shaft 4 work area,"Baltimore City,MD,21213",Baltimore City,Environmental/Health Impact,03/18/2013,12/05/2012
139382,Thayerville Water Distribution System,"US 219 Bridge over, Deep Creek Lake","Oakland,MD,21550",Garrett,Environmental/Health Impact,03/22/2013,12/06/2012
139385,Sharpless Mine Rd,Mt. Zion Rd,"Swanton,MD,21561",Garrett,,01/13/2014,12/05/2012
139397,US Cellular Oakland South,"off KIng Wildesen Rd, Windmill Rd","Oakland,MD,21550",Garrett,Environmental/Health Impact,04/03/2013,12/20/2012
139426,SunsetBeachCondo/46thStreet/CoastalHwy,"4603 Coastal Hwy, Sunset Beach Condos","Ocean City,MD,21842",Worcester,Environmental/Health Impact,05/19/2016,12/20/2012
139426,SunsetBeachCondo/46thStreet/CoastalHwy,"4603 Coastal Hwy, Sunset Beach Condos","Ocean City,MD,21842",Worcester,Environmental/Health Impact,05/19/2016,12/20/2012
139576,End of Sasha Lane off Mount Aetna Rd,End of Sasha Ln,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,10/07/2014,01/23/2013
139584,Mike Peter Property,2 Ridgeway Drive,"Ridgely,MD,21660",Caroline,Environmental/Health Impact,08/15/2013,01/25/2013
139629,Behavioral Health Clinic Modular Trailers Fort Meade,Ernie Pyle St,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,07/29/2013,05/16/2013
139629,Behavioral Health Clinic Modular Trailers Fort Meade,Ernie Pyle St,"Fort George G. Meade,MD,20755",Anne Arundel,,03/20/2013,01/31/2013
139746,Robert Ambrose,977 Tidewater Road,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,10/21/2013,02/28/2013
139801,PG DPWT-Keppler Road,"Keppler Road, 1 blk from Temple Hills Road","Temple Hills,MD,20748",Prince George's,Environmental/Health Impact,06/08/2015,02/09/2015
139826,"Bolivar Ready Mix, LLC",2222-B Old National Pike,"Middletown,MD,21769",Frederick,Environmental/Health Impact,04/28/2016,02/22/2013
139833,Modern Foundations Inc,7860 Kabik Court,"Woodbine,MD,21797",Carroll,Environmental/Health Impact,04/18/2014,02/25/2013
139836,Bozzuto ATC 11 Landbay-Parcel 15B,1901 Towne Centre Blvd,"Annapolis,MD,21401",Anne Arundel,,04/09/2013,01/31/2013
139894,OceanPinesGolfClub/Hole11,"100 Clubhouse Drive, Ocean Pines Golf CluB","Berlin,MD,21811",Worcester,Environmental/Health Impact,05/16/2013,02/28/2013
139894,OceanPinesGolfClub/Hole11,"100 Clubhouse Drive, Ocean Pines Golf CluB","Berlin,MD,21811",Worcester,Environmental/Health Impact,05/20/2013,02/28/2013
139894,OceanPinesGolfClub/Hole11,"100 Clubhouse Drive, Ocean Pines Golf CluB","Berlin,MD,21811",Worcester,Environmental/Health Impact,07/15/2013,02/28/2013
139911,USAMRID Replacement Phase I,Fort Detrick,"Frederick,MD,21702",Frederick,Environmental/Health Impact,06/10/2013,02/28/2013
139940,"13-WA-0026 Maple Valley Estates Sections C, D, and E",Corello Drive,"Hagerstown,MD,21742",Washington,Environmental/Health Impact,05/28/2013,03/05/2013
139967,BWI Airport - 7350 Mathison Way,7350 Mathison Way,"BWI Airport,MD,21240",Anne Arundel,Environmental/Health Impact,05/22/2013,02/28/2013
140101,4325 Washington Blvd Halethorpe,4325 Washington Blvd,"Halethorpe,MD,21227",Baltimore,Environmental/Health Impact,10/02/2013,04/02/2013
140140,"US NSA-Ft Meade, Building 1",Rockenbach Road,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,03/08/2017,02/02/2017
140140,"US NSA-Ft Meade, Building 1",Rockenbach Road,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,12/10/2014,07/09/2014
140154,1218 N Broadway,"1218 N Broadway, B B Broadway LLC","Baltimore City,MD,21218",Baltimore City,Environmental/Health Impact,05/08/2014,04/03/2013
140281,MO DEP-Greencastle Lakes Bay TMDL,"Ballinger Drive at Ballinger Terrace, Greencastle Lakes SWM Pond","Silver Spring,MD,20904",Montgomery,Environmental/Health Impact,,12/27/2018
140289,Centurylink @ 111 Market Place 4th floor,"111 Market Pl, 4th Fl, The Chandler Building","Baltimore City,MD,21202",Baltimore City,Environmental/Health Impact,08/22/2013,04/11/2013
140293,Wolfe Terrace Apartments,312 Maple Ave,"Berlin,MD,21811",Worcester,Environmental/Health Impact,04/24/2017,04/12/2017
140326,Pitttman Rd & Carbide Rd,701 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,12/05/2016,04/11/2013
140341,2113 Horace Ward Rd,2113 Horace Ward Rd,"Owings,MD,20736",Calvert,Environmental/Health Impact,12/21/2013,04/22/2013
140341,2113 Horace Ward Rd,2113 Horace Ward Rd,"Owings,MD,20736",Calvert,Environmental/Health Impact,12/21/2013,04/22/2013
140392,"Teegarden, 5402 Buffalo Road-NTW",5402 Buffalo Rd,"Mount Airy,MD,21771",Frederick,Environmental/Health Impact,04/30/2018,04/17/2013
140395,Homefield Neighborhood,St. Linus Dr,"Waldorf,MD,20602",Charles,,07/29/2013,04/26/2013
140425,SMR Investments LLC,"310 Gay St, District Court Bldg","Cambridge,MD,21613",Dorchester,Environmental/Health Impact,07/22/2013,04/30/2013
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park","North East,MD,21901",Cecil,Environmental/Health Impact,12/11/2020,08/05/2019
140456,East Greenbank Rd,"End of East Greenbank Rd, across from 13107","Middle River,MD,21220",Baltimore,Environmental/Health Impact,06/02/2015,04/26/2013
140456,East Greenbank Rd,"End of East Greenbank Rd, across from 13107","Middle River,MD,21220",Baltimore,Environmental/Health Impact,06/02/2015,04/26/2013
140462,West River Gardens LLC,5346 Muddy Creek RD,"West River,MD,20778",Anne Arundel,Environmental/Health Impact,01/06/2014,05/02/2013
140528,4020 North Point Blvd,4020 North Point Blvd,"Dundalk,MD,21222",Baltimore,,08/06/2013,05/13/2013
140534,Race Track,24269 Race Track Road,"Ridgely,MD,21660",Caroline,Environmental/Health Impact,12/03/2014,07/02/2013
140577,Oxon Hill Village SSO,5792 Virginia Ave,"Oxon Hill,MD,20745",Prince George's,Environmental/Health Impact,12/15/2014,05/07/2013
140594,Calvert Tract LLC-Cafritz Property,Baltimore Avenue (US 1) betwn Tuckerman St and Albion Rd,"Riverdale,MD,20737",Prince George's,Environmental/Health Impact,09/30/2015,06/26/2015
140650,Howard and Dolores Ruskie,5757 Shookstown Road,"Frederick,MD,21701",Frederick,Environmental/Health Impact,06/27/2013,10/04/2012
140668,"New Asia Restaurant, Inc.",1 York Street,"Taneytown,MD,21787",Carroll,Environmental/Health Impact,12/19/2011,06/11/2009
140695,127 Slade Ave,127 Slade Ave,"Pikesville,MD,21208",Baltimore,Environmental/Health Impact,02/11/2015,05/31/2013
140711,Barton Hall Lot 3,End of Hodges Rd,"Abell,MD,20606",St. Mary's,Environmental/Health Impact,07/11/2017,11/06/2013
140711,Barton Hall Lot 3,End of Hodges Rd,"Abell,MD,20606",St. Mary's,Environmental/Health Impact,04/27/2018,11/06/2013
140727,The View CM,111 57th St,"Ocean City,MD,21842",Worcester,Environmental/Health Impact,10/05/2017,12/11/2013
140750,255 Bowie Shop Rd,255 Bowie Shop Rd,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,05/16/2016,06/10/2013
140751,Accident Sanitary Sewer,104 S North St,"Accident,MD,21520",Garrett,Environmental/Health Impact,11/12/2013,06/04/2013
140801,Hollander 95 Business Park,"Hollander Ridge, East side of 62nd St","Baltimore City,MD,21224",Baltimore City,Environmental/Health Impact,09/29/2013,06/12/2013
140826,712 E Shore Rd,712 E Shore Rd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,11/01/2013,06/07/2013
140900,Sassafras Rd,343 Sassafras Rd,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,07/29/2013,06/11/2013
140984,Saint Charles High School,5305 Piney Church Rd,"Waldorf,MD,20602",Charles,,08/13/2013,07/12/2013
141048,CSX Transportation JD To JONES HILL CSXT New Track MP CFP 118.5 To CFP 120.6 11-SF-0047/11SF0047,Defense Heights,"Bladensburg,MD,20710",Prince George's,Environmental/Health Impact,08/04/2014,05/27/2014
141098,14-1006 Gary Harman 4024 Chestnut Grove Rd,4024 Chestnut Grove Rd,"Keedysville,MD,21756",Washington,Environmental/Health Impact,04/17/2018,07/23/2013
141119,Smallwood Property,6011 Quantico Road,"Quantico,MD,21856",Wicomico,Environmental/Health Impact,03/04/2020,12/02/2013
141237,4400 Smallwood Church Rd,4400 Smallwood Church Road,"Indian Head,MD,20640",Charles,Environmental/Health Impact,03/23/2017,08/14/2013
141257,The Cloisters,255 Romancoke Rd,"Stevensville,MD,21666",Queen Anne's,Environmental/Health Impact,10/15/2018,02/23/2018
141292,Autumn Woods,"Lofton Hill Rd, off Prospect Hill Rd","La Plata,MD,20646",Charles,,09/15/2014,06/03/2014
141320,Thurmont Community Ambulance Company,"Jimtown Road/Lawyer Lane, west of Rt 550 (jimtown Road) between Lawyer Lane and Woodland Avenue","Thurmont,MD,21788",Frederick,Environmental/Health Impact,06/07/2016,08/04/2015
141358,Meadowlark Ave/Bluebird Ave,Meadowlark Ave,"Hagerstown,MD,21742",Washington,Environmental/Health Impact,12/23/2013,08/27/2013
141378,Heron Grove Ct,6929 Heron Grove Ct,"Parsonsburg,MD,21804",Wicomico,Environmental/Health Impact,11/06/2017,10/10/2017
141378,Heron Grove Ct,6929 Heron Grove Ct,"Parsonsburg,MD,21804",Wicomico,Environmental/Health Impact,10/07/2019,05/09/2017
141378,Heron Grove Ct,6929 Heron Grove Ct,"Parsonsburg,MD,21804",Wicomico,Environmental/Health Impact,10/06/2014,08/28/2013
141458,JPS Marble,"1615 Robins Ct, Ste C","Forest Hill,MD,21050",Harford,Environmental/Health Impact,05/07/2018,02/03/2015
141478,Ponds 1522 Linthicum Rd,1522 Linthicum Rd,"Dickerson,MD,20842",Montgomery,Environmental/Health Impact,05/21/2015,09/09/2013
141554,Storey,Hoyes Run Road,"Mc Henry,MD,21541",Garrett,Environmental/Health Impact,01/27/2014,09/05/2013
141563,2630 N Salisbury Boulevard Shopping Center,2630 N Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,03/04/2015,11/14/2013
141665,Harvest Ridge Associates LLC,Autumn Crest Dr,"Frederick,MD,21701",Frederick,Environmental/Health Impact,10/07/2015,06/09/2015
141724,Easton Technology Center Lot 11,1-Way Court,"Easton,MD,21601",Talbot,,,02/17/2021
141724,Easton Technology Center Lot 11,1-Way Court,"Easton,MD,21601",Talbot,,,
141767,MD DNR-North Point State Battlefield Park,8400 North Point Rd,"Edgemere,MD,21219",Baltimore,Environmental/Health Impact,03/31/2015,12/29/2014
141872,W Old Baltimore Rd at Ten Mile Stream crossing,"15000 West Old Baltimore Rd, 0.4 miles SE, 39.217725-77.316781","Boyds,MD,20841",Montgomery,Environmental/Health Impact,12/23/2014,08/15/2013
141885,1023 Reece Rd,1023 Reece Rd,"Severn,MD,21144",Anne Arundel,Environmental/Health Impact,03/13/2015,10/17/2014
141913,Sue Island Marina,850 Baltimore Yacht Club Rd,"Essex,MD,21221",Baltimore,Environmental/Health Impact,,01/04/2017
141937,Maywood Lane WSSC pumping operation,Silver Hill Rd and Maywood La,"Suitland,MD,20746",Prince George's,Environmental/Health Impact,03/06/2014,11/12/2013
141989,BGE Tipton Terminal Station,39.0937585 -76.7645354,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,06/04/2015,02/03/2015
141989,BGE Tipton Terminal Station,39.0937585 -76.7645354,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,12/15/2014,08/28/2014
142063,MANG Cyber/ISR Building,39.3311377 -76.4129080,"Middle River,MD,21220",Baltimore,,,07/31/2018
142063,MANG Cyber/ISR Building,39.3311377 -76.4129080,"Middle River,MD,21220",Baltimore,,,
142220,SMECO Sunderland Substation,275 Lower Marlboro Rd,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,01/13/2014,12/06/2013
142234,WRF & Son Port-a-Potty,4 Prospect Rd,"Mount Airy,MD,21771",Frederick,Environmental/Health Impact,09/09/2014,11/25/2013
142239,Charles Street Overlook,"east of Hickory Ln, north side of MD Rte 6","La Plata,MD,20646",Charles,Environmental/Health Impact,12/18/2015,07/29/2015
142269,Spring Ridge Middle School Upgrades,38.212276 -76.401557,"Lexington Park,MD,20653",St. Mary's,Environmental/Health Impact,12/02/2014,08/21/2014
142291,ClarkeAve/WilliamsSt Fire Hyrdrant,Clarke Ave and Williams St intersection,"Pocomoke City,MD,21851",Worcester,Environmental/Health Impact,09/19/2017,12/06/2013
142314,Oak Forest Ave,303 Oak Forest Ave,"Catonsville,MD,21228",Baltimore,Environmental/Health Impact,04/01/2014,12/06/2013
142316,Sewage Spill at Stormwater Management pond behind 1681 Gemini Dr Sykesville,1681 Gemini Dr,"Sykesville,MD,21784",Carroll,Environmental/Health Impact,06/30/2015,11/23/2013
142317,Downtown Columbia Warfield Parcels C and D,10000 Town Center Ave,"Columbia,MD,21044",Howard,Environmental/Health Impact,03/28/2014,12/04/2013
142378,WSSC-Susanna Lane,Rear of 8721 Susanna Lane,"Chevy Chase,MD,20813",Montgomery,Environmental/Health Impact,06/16/2014,03/12/2014
142387,Hanover Crossing,7460 New Ridge Rd,"Hanover,MD,21076",Anne Arundel,Environmental/Health Impact,05/08/2014,12/16/2013
142665,CE DPW-Principio Sanitary Sewer Subdistrict North Interceptor,"Principio Parkway East, Principio Parkway East","North East,MD,21901",Cecil,Environmental/Health Impact,11/12/2015,07/07/2015
142668,Shymansky property,corner of Hill Road and Cobb Island Road,"Newburg,MD,20664",Charles,Environmental/Health Impact,05/27/2014,01/23/2014
142669,2335 Cape Leonard Drive,2335 Cape Leonard Drive,"Saint Leonard,MD,20685",Calvert,Environmental/Health Impact,09/04/2014,01/29/2014
142671,WLR Automotive Group,2260 Solomons Island Road,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,,09/17/2018
142671,WLR Automotive Group,2260 Solomons Island Road,"Huntingtown,MD,20639",Calvert,,05/09/2018,04/09/2018
142675,St. Barnabas Plaza SSO,3650 Saintt Barnabas Rd,"Suitland,MD,20746",Prince George's,Environmental/Health Impact,01/04/2018,01/30/2014
142794,PointsReach/BuildingB/OceanPines,"Points Reach (Condos), Tax Map 0021, Parcel 0317, forested area behind Building B","Berlin,MD,21811",Worcester,Environmental/Health Impact,12/04/2014,02/14/2014
142893,Family Dollar Boos Development Group Inc-Havre de Grace,1122 Revolution Street,"Havre De Grace,MD,21078",Harford,Environmental/Health Impact,07/11/2016,08/04/2015
143022,"Oliver Property, Ditch and Road through forested area","Melson Rd, East of the intersection of Rum Ridge Road","Delmar,MD,21875",Wicomico,Environmental/Health Impact,05/07/2015,06/26/2014
143029,WM Davis Development-St. Mary's Industrial Park Lot 10,43960 Airport View Dr,"Hollywood,MD,20636",St. Mary's,,10/07/2015,07/16/2015
143105,MES-Rocky Gap WTP,12900 Lakeshore Drive,"Flintstone,MD,21530",Allegany,,12/23/2014,10/03/2014
143106,Love's Travel Stop #537,13300 Ali Ghan Road NE,"Cumberland,MD,21502",Allegany,Environmental/Health Impact,08/15/2014,04/30/2014
143120,Deborah Eileen Ray-8206 Northview Road,8206 Northview Rd,"Dundalk,MD,21222",Baltimore,Environmental/Health Impact,09/21/2015,03/07/2014
143390,"SMECO Distribution Line US 301 SB, 50 ft south of AT&T access road","US 301 SB, approx. 50 ft. south of AT&T access road","Waldorf,MD,20603",Charles,Environmental/Health Impact,06/12/2014,04/04/2014
143495,Spiker Trail Park,Shingle Camp Road,"McHenry,MD,21541",Garrett,Environmental/Health Impact,08/04/2014,04/09/2014
143528,Dick's Sporting Goods #1096,28564 Marlboro Ave,"Easton,MD,21601",Talbot,Environmental/Health Impact,02/13/2015,09/30/2014
143618,O'Brien Road Improvements,39.101279 -76.760349,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,03/22/2016,11/12/2015
143629,"WSSC - Improper dewatering of sediment from a 60"" Steel Sleeve Water Main","14501 Sweitzer Lane, I-95 SB directly E of WSSC Headquarters","Laurel,MD,20707",Prince George's,Environmental/Health Impact,07/18/2014,04/21/2014
143658,AA DPW-Baltimore-Annapolis Boulevard,958 Baltimore Annapolis Blvd,"Severna Park,MD,21146",Anne Arundel,Environmental/Health Impact,03/11/2016,12/10/2015
143767,AA DPW-Brighton Place,betwn Penrod Ct and Brighton Pl,"Glen Burnie,MD,21061",Anne Arundel,Environmental/Health Impact,03/11/2016,11/17/2015
143785,446 Connelly Road Rising Sun,446 Connelly Road,"Rising Sun,MD,21911",Cecil,Environmental/Health Impact,03/03/2020,02/20/2015
143786,Brian Smith,15077 Potomac River Drive,"Cobb Island,MD,20625",Charles,Environmental/Health Impact,09/17/2019,08/18/2017
143857,1211 Lake Ridge Drive / Thomas Joseph Cable,1211 Lake Ridge Drive,"Sunderland,MD,20689",Calvert,Environmental/Health Impact,06/16/2017,05/19/2014
143863,2116 Monumental Road,2116 Monumental Avenue,"Halethorpe,MD,21227",Baltimore,Environmental/Health Impact,08/07/2014,02/28/2014
143924,Ijamsville Farmland Reclamation Project LLLP,9611 Reichs Ford Rd,"Ijamsville,MD,21754",Frederick,Environmental/Health Impact,08/19/2015,09/12/2014
143925,Plymouth Tunnel Construction Dewatering,Wayne Ave to Arliss St,"Silver Spring,MD,20901",Montgomery,Environmental/Health Impact,,05/23/2019
143976,La Cuchara,"3600 Clipper Mill Rd, Ste 125","Baltimore,MD,21210",Baltimore City,Environmental/Health Impact,02/18/2020,09/21/2018
144102,"Upgrade ""potable"" water treatment system at VAMC, Perry Point, MD",39.553285 -76.069584,"Perry Point,MD,21902",Cecil,Environmental/Health Impact,06/20/2019,10/05/2015
144212,"10480 Guilford Road, S Zelen ACOE","D. A. Drenner Concrete, Inc., 10480 Guilford Road","Jessup,MD,20794",Howard,Environmental/Health Impact,,12/13/2019
144255,David & Anita Fawcett,21613 Chicken Point Road,"Tilghman,MD,21671",Talbot,,03/17/2015,06/24/2014
144272,Jamie Harrington Property/Secretary,101 Linden Avenue,"Secretary,MD,21664",Dorchester,Environmental/Health Impact,01/05/2016,06/03/2014
144277,John Sines,Monta Vista Rd. and Rt.219 South,"Oakland,MD,21550",Garrett,Environmental/Health Impact,11/09/2016,06/17/2014
144338,Sabate,"Mountaindale Rd, Ted Sabate","Thurmont,MD,21788",Frederick,Environmental/Health Impact,09/30/2014,06/19/2014
144380,113 Jackpine Dr.,113 Jackpine Dr.,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,01/13/2015,06/20/2014
144411,William Freeman,11645 Cuckold Creek Road,"Newburg,MD,20664",Charles,Environmental/Health Impact,07/08/2016,08/19/2015
144473,Center at Monocacy Lots 1 and 15,Southern intersection of MD 85 and Pegasus Ct,"Frederick,MD,21071",Frederick,Environmental/Health Impact,09/30/2014,07/09/2014
144574,3901 Twin Arch Rd wetland and floodplain fill,3901 Twin Arch Road,"Mount Airy,MD,21771",Frederick,Environmental/Health Impact,06/05/2015,06/25/2014
144601,Dollar General Nave's Crossroads,Nave's Crossroads,"Cumberland,MD,21502",Allegany,Environmental/Health Impact,07/22/2015,07/22/2014
144617,Tideland Cooperative Campground,525 Taylors Island Rd,"Taylors Island,MD,21669",Dorchester,Environmental/Health Impact,07/18/2017,12/14/2016
144633,728 West Pulaski Highway,728 West Pulaski Hwy.,"Elkton,MD,21921",Cecil,Environmental/Health Impact,11/13/2017,07/01/2015
144701,13472 Poplar Hill Rd,13472 Poplar Hill Road,"Waldorf,MD,20601",Charles,,09/10/2020,12/05/2019
144716,3235 Harness Creek Road,3235 Harness Creek Rd,"Annapolis,MD,21403",Anne Arundel,Environmental/Health Impact,09/13/2017,08/01/2014
144716,3235 Harness Creek Road,3235 Harness Creek Rd,"Annapolis,MD,21403",Anne Arundel,Environmental/Health Impact,09/13/2017,08/01/2014
144723,Almost An Island Investments LLC/45979 Clarks Road,45979 Clarks Road,"California,MD,20619",St. Mary's,Environmental/Health Impact,09/22/2014,07/22/2014
144724,Nelson's Run SWM Revisions Lots 1-3,Miss Etta's Way,"Leonardtown,MD,20650",St. Mary's,,04/13/2015,12/26/2014
144736,10734 Scaggsville Road stream work,10734 Scaggsville Road,"Laurel,MD,20723",Howard,Environmental/Health Impact,11/16/2017,07/29/2014
144799,Chesapeake Wood Products LLC,5274 Bucktown Rd,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,04/22/2016,03/09/2015
144805,Rockfish Solar LLC,4370 Renner Road,"Waldorf,MD,20602",Charles,Environmental/Health Impact,07/31/2015,04/23/2015
144828,"Fibred-Maryland, Inc","11600 River Rd, SE","Cumberland,MD,21501",Allegany,Environmental/Health Impact,05/26/2011,04/01/2004
