"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"832",137988,"338 Wye Road","338 & 340 Wye Road","Essex,MD,21221","Baltimore","Penalty Settlement","PS-13-1724","08/06/2012","10/29/2012","Tidal Wetlands",NA,39.3048809975519,-76.4264310317352
"833",137989,"Peter and Tamara Cofer","13540 Osprey Ln","Solomons,MD,20688","Calvert","Penalty Settlement",NA,"08/02/2012","09/05/2012","Tidal Wetlands",NA,38.3427740068203,-76.4507220393631
"834",137996,"Morrell Park Community Center","2501 Whittington Ave, (near Morrell Park Elem/Middle School)","Baltimore City,MD,21230","Baltimore City","Penalty Settlement",NA,"08/13/2012","01/18/2013","Notice of Intent","Notice of Intent (Construction)",39.2592856121326,-76.6563584102886
"835",137997,"Sitatunga Barn at the Maryland Zoo","Sitatunga Barn, Maryland Zoo, Druid Hill Park","Baltimore City,MD,21217","Baltimore City","Penalty Settlement","PS-13-1750","09/04/2012","10/01/2012","Notice of Intent","Notice of Intent (Construction)",39.3059999997189,-76.63826500018
"836",138098,"Liberty Wine and Liquor","National Hwy","Cumberland,MD,21502","Allegany","Penalty Settlement","C-14-1965","07/16/2013","08/09/2013","Sediment",NA,39.6671639866737,-78.7825926897783
"837",138100,"Hanover Brewer's Hill","3700 Toone St","Baltimore,MD,21224","Baltimore City","Penalty Settlement",NA,"10/04/2013","11/20/2012","Notice of Intent","Notice of Intent (Construction)",39.2801200179193,-76.5653800207197
"838",138132,"E Way Dr Charles Wood","E Way","Scotland,MD,20687","St. Mary's","Penalty Settlement",NA,"09/28/2012","07/09/2013","Tidal Wetlands",NA,38.0660150472138,-76.3333899368991
"839",138151,"Easton Commons Fill","corner of Chapel Rd and, Sunflower Dr","Easton,MD,21601","Talbot","Penalty Settlement","PS-13-1769","09/25/2012","10/15/2012","Sediment",NA,38.7938300328863,-76.0582198927162
"840",138157,"08-WA-0133 Light Business Park","Omega Road","Hagerstown,MD,21740","Washington","Penalty Settlement","PS-13-1774","10/03/2012","10/23/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",39.6388350471227,-77.6925348990421
"841",138159,"Taco Bell BurgerBusters Inc","450 Dual Hwy","Hagerstown,MD,21740","Washington","Penalty Settlement","C-13-1784","10/18/2012","01/09/2013","Sediment",NA,39.6383900098766,-77.7104299692208
"842",138176,"AT&T Store Salisbury MD","105 W Ruark Dr","Salisbury,MD,21801","Wicomico","Penalty Settlement","PS-13-1777","11/14/2012","11/14/2012","Notice of Intent;Sediment",NA,38.4065019934877,-75.5683450099675
"843",138207,"PB Land Trust-Preserve at Southeast Creek","SW corner of MD 213 and Bens Point Road","Church Hill,MD,21623","Queen Anne's","Complaint & Penalty","SA-14-2024","05/20/2013","11/08/2013","Sediment",NA,39.154480024729,-75.9814899396852
"844",138224,"MNCPPC-Anacostia Riverwalk, Kenilworth Section","East bank of the Anacostia River","Cheverly,MD,20781","Prince George's","Penalty Settlement","PS-15-2237","04/02/2015","04/15/2015","Tidal Wetlands",NA,38.9250888714065,-76.925001463602
"845",138246,"Bartholow Rd & Irongate Rd, Sykesville","Bartholow Rd & Irongate Rd","Sykesville,MD,21784","Carroll","Penalty Settlement","PS-13-1741","08/14/2012","12/19/2012","Surface Water Discharge Unauthorized",NA,39.4322000532809,-76.9669498768289
"846",138261,"Canton Crossing Parking Garage","1519 S Clinton St","Baltimore,MD,21224","Baltimore City","Penalty Settlement","PS-13-1771","10/04/2012","11/20/2012","Notice of Intent","Notice of Intent (Construction)",39.2745160026047,-76.5687140065056
"847",138265,"11309 Acton Drive","11309 Acton Drive","Waldorf,MD,20601","Charles","Penalty Settlement",NA,"02/13/2013","07/12/2013","Surface Water Discharge Unauthorized","Industrial Minor",38.6392570095856,-76.9186869620265
"848",138308,"Tomkies LLC","2818 Solomons Island Rd","Edgewater,MD,21037","Anne Arundel","Settlement Agreement","SA-15-2234","03/31/2015","05/06/2015","Sediment;Tidal Wetlands",NA,38.9560880041121,-76.5538949690824
"849",138368,"MD SHA-Bridge No 03140-I-695 over Milford Mills Road","I-695 over Milford Mills Road","Pikesville,MD,21208","Baltimore","Penalty Settlement","C-16-2320","09/24/2015","10/15/2015","Sediment",NA,39.361985929484,-76.72983991781
"850",138385,"Johns Hopkins at Mount Washington - Marbury Garage","6225 Smith Ave, Garage at Marbury Building (under plaza)","Baltimore City,MD,21209","Baltimore City","Penalty Settlement","PS-13-1762","09/14/2012","10/09/2012","Notice of Intent","Notice of Intent (Construction)",39.3743059964669,-76.656417965897
"851",138391,"Annapolis Towne Center at Parole-Greenberg Gibbons","Annpolis Towne Center, Whole Foods Underground Parking Garage, Sommersville Rd","Annapolis,MD,21401","Anne Arundel","Penalty Settlement","PS-13-1911","05/15/2013","05/16/2013","Surface Water Discharge Unauthorized",NA,38.9769344997187,-76.4982241996975
"852",138394,"TU Campus Utility improvement Linthicum Dr","Linthicum Dr and University Ave","Towson,MD,21204","Baltimore","Penalty Settlement","PS-13-1809","12/06/2012","12/06/2012","Sediment",NA,39.3955400395948,-76.6069999416067
"853",138487,"Lakewood Estates","Behind homes 12635 through 12645 Willow View Place","Waldorf,MD,20602","Charles","Penalty Settlement",NA,"11/13/2012","12/13/2012","Non-Tidal Wetlands",NA,38.6097659958681,-76.879596028633
"854",138487,"Lakewood Estates","Behind homes 12635 through 12645 Willow View Place","Waldorf,MD,20602","Charles","Penalty Settlement",NA,"02/14/2013","03/29/2016","Non-Tidal Wetlands",NA,38.6097659958681,-76.879596028633
"855",138532,"Miller Bottom Ocean Hill Rd","Miller Bottom Ocean Hill Rd, off Rt.36 south","Midland,MD,21542","Allegany","Penalty Settlement","PS-13-1785","10/17/2012","11/26/2012","Sediment;Surface Water Discharge Unauthorized","Industrial Stormwater",39.590751199746,-78.9495930000342
"856",138536,"Joseph Schmidt","4536 Oakland Sang Run Road","Oakland,MD,21550","Garrett","Settlement Agreement","SA-13-1880","03/20/2013","04/02/2013","Non-Tidal Wetlands;Sediment;Waterway Construction",NA,39.4883459802167,-79.3900720028627
"857",138575,"Pitt Ohio Express Inc","151 Blades Ln","Glen Burnie,MD,21061","Anne Arundel","Penalty Settlement","PS-14-2097","06/10/2014","07/01/2014","Surface Water Discharge Unauthorized","Industrial Minor",39.2010909918242,-76.5991620239718
"858",138578,"Arlene Zarr 842 North Shore Dr","842 North Shore Drive","Glen Burnie,MD,21060","Anne Arundel","Penalty Settlement","PS-13-1821","01/04/2013","01/04/2013","Tidal Wetlands",NA,39.1497520030354,-76.5522839672828
"859",138706,"Doug Clark","5073 Grays Inn Creek Rd","Rock Hall,MD,21661","Kent","Consent Order","CO-19-2588","05/20/2019","12/10/2019","Tidal Wetlands",NA,39.1153690170728,-76.2238519996241
"860",138707,"Maryland Protron Treatment Center","850 W Baltimore St","Baltimore City,MD,21201","Baltimore City","Penalty Settlement","PS-13-1800","11/20/2012","11/20/2012","Notice of Intent","Notice of Intent (Construction)",39.289303984814,-76.6299970338657
"861",138778,"Near 8841 Willowbrook Rd Frederick","Near 8841 Willowbrook Rd","Frederick,MD,21702","Frederick","Settlement Agreement","AP-11-1187","04/23/2013","04/30/2013","Sediment;Surface Water Discharge Permit","Industrial Stormwater",39.4783389940505,-77.4166419994147
"862",138778,"Near 8841 Willowbrook Rd Frederick","Near 8841 Willowbrook Rd","Frederick,MD,21702","Frederick","Penalty Settlement","AP-11-1187","03/21/2013","04/30/2014","Sediment;Surface Water Discharge Permit","Industrial Stormwater",39.4783389940505,-77.4166419994147
"863",138805,"Budds Creek Pro National Inc-27969 Budds Creek Rd","27969 Budds Creek Rd","Mechanicsville,MD,20659","St. Mary's","Consent Order","COP-15-2218","04/20/2015","08/08/2018","Notice of Intent;Sediment;Waterway Construction","Notice of Intent (Construction)",38.4039839861867,-76.8399430049931
"864",138824,"Baltimore City Infrastructure Rehabilitation - Locust Point","southeast corner Ander St & Towson St, Locust Point","Baltimore City,MD,21230","Baltimore City","Penalty Settlement","PS-15-2114","05/06/2014","07/30/2014","Surface Water Discharge Unauthorized","Industrial Minor",39.2704244281012,-76.5913763882864
"865",138853,"Roy Droege","535 Maryland Avenue","Lusby,MD,20657","Calvert","Penalty Settlement","C-14-2003","09/20/2013","12/23/2013","Sediment",NA,38.3277390097722,-76.4482850007271
"866",138929,"MD 26 and Pikeswood Drive, Randallstown","MD 26 and Pikeswood Drive","Randallstown,MD,21133","Baltimore","Penalty Settlement","C-13-1854","02/20/2013","03/01/2013","Sediment",NA,39.374160025629,-76.8103799484561
"867",138964,"Columbia Gas Transmission-Line MB Extension-Owings Mills to Fallston","Owings Mills M and R Station to Rutledge Compresser Station","Owings Mills,MD,21117","Baltimore","Penalty Settlement","C-16-2359","01/06/2016","02/16/2016","Sediment",NA,39.4181800001231,-76.7812550002831
"868",138988,"AA DPW-Broadneck Peninsula Trail","Bay Dale Dr to Pennington Lane","Annapolis,MD,21409","Anne Arundel","Penalty Settlement",NA,"04/02/2013","05/07/2013","Non-Tidal Wetlands",NA,39.0274309561579,-76.475108943046
"869",139142,"Roberts Field Shopping Center SSO","735 Hanover Pike, Roberts Field Shopping Center","Hampstead,MD,21074","Carroll","Penalty Settlement","PS-14-2083","05/01/2014","05/20/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.5945239904656,-76.8454960163804
"870",139180,"MCDOT Log House Rd replacement of two roadway culverts","23819 Log House Rd, Mo ADC 4929H1","Damascus,MD,20872","Montgomery","Settlement Agreement","PS-15-2182","11/24/2014","02/03/2015","Non-Tidal Wetlands;Sediment;Waterway Construction",NA,39.2475059902233,-77.2022609954239
"871",139190,"American Infrastructure site near MARC Train Station Beltsville","7012-B Muirkirk Rd","Beltsville,MD,20705","Prince George's","Penalty Settlement","PS-13-1883","03/15/2013","04/22/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",39.0620491495062,-76.8847820881082
"872",139272,"Auction Rd Culvert Replacement","Auction Rd","Federalsburg,MD,21632","Caroline","Penalty Settlement","PS-13-1878","05/01/2013","04/09/2013","Sediment",NA,38.7671312377122,-75.8504818359284
"873",139310,"Keith Segerson","285 Oyster Bay Drive","Dowell,MD,20629","Calvert","Penalty Settlement","PS-15-2201","01/07/2015","01/16/2015","Tidal Wetlands",NA,38.3363709870283,-76.4566049615301
"874",139323,"BC DPW Improvements to Herring Run Interceptors SC 871","Shaft 4 work area","Baltimore City,MD,21213","Baltimore City","Penalty Settlement","PS-13-1877","03/18/2013","03/13/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",39.3087300003006,-76.5897500001426
"875",139382,"Thayerville Water Distribution System","US 219 Bridge over, Deep Creek Lake","Oakland,MD,21550","Garrett","Penalty Settlement","C-13-1889","03/22/2013","04/18/2013","Sediment",NA,39.3991367002425,-79.3828073002106
"876",139385,"Sharpless Mine Rd","Mt. Zion Rd","Swanton,MD,21561","Garrett","Penalty Settlement","SA-14-2049","04/24/2013","02/18/2014","Sediment",NA,39.4381397949611,-79.1681914855877
"877",139397,"US Cellular Oakland South","off KIng Wildesen Rd, Windmill Rd","Oakland,MD,21550","Garrett","Penalty Settlement","C-13-1892","03/26/2013","04/03/2013","Sediment",NA,39.3357116937842,-79.3510816682046
"878",139576,"End of Sasha Lane off Mount Aetna Rd","End of Sasha Ln","Hagerstown,MD,21740","Washington","Consent Order","C-O-AP-13-SW-0258","10/07/2014","09/15/2015","Sediment",NA,39.6472571997408,-77.7238512999271
"879",139584,"Mike Peter Property","2 Ridgeway Drive","Ridgely,MD,21660","Caroline","Penalty Settlement","PS-14-1977","08/15/2013","09/19/2013","Surface Water Discharge Unauthorized",NA,38.9535039888823,-75.8855749833383
"880",139629,"Behavioral Health Clinic Modular Trailers Fort Meade","Ernie Pyle St","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement",NA,"03/20/2013","05/10/2013","Notice of Intent","Notice of Intent (Construction)",39.1168360757741,-76.7358008963886
"881",139629,"Behavioral Health Clinic Modular Trailers Fort Meade","Ernie Pyle St","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement","PS-14-1972","07/29/2013","07/29/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",39.1168360757741,-76.7358008963886
"882",139801,"PG DPWT-Keppler Road","Keppler Road, 1 blk from Temple Hills Road","Temple Hills,MD,20748","Prince George's","Penalty Settlement","PS-15-2266","06/08/2015","10/29/2015","Notice of Intent","Notice of Intent (Construction)",38.811054960295,-76.9374383997588
"883",139833,"Modern Foundations Inc","7860 Kabik Court","Woodbine,MD,21797","Carroll","Penalty Settlement","PS-14-2095","05/17/2014","06/24/2014","Surface Water Discharge Unauthorized","Industrial Minor",39.3597840139515,-77.0259390291615
"884",139836,"Bozzuto ATC 11 Landbay-Parcel 15B","1901 Towne Centre Blvd","Annapolis,MD,21401","Anne Arundel","Penalty Settlement","PS-13-1906","04/09/2013","05/28/2013","Notice of Intent","Notice of Intent (Construction)",38.9814809799211,-76.5434330123154
"885",139894,"OceanPinesGolfClub/Hole11","100 Clubhouse Drive, Ocean Pines Golf CluB","Berlin,MD,21811","Worcester","Penalty Settlement","PS-13-1921","03/21/2013","06/04/2013","Sediment",NA,38.3901199997666,-75.1463500002415
"886",139911,"USAMRID Replacement Phase I","Fort Detrick","Frederick,MD,21702","Frederick","Penalty Settlement","PS-13-1944","06/10/2013","08/09/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",39.4350899999598,-77.4243800001355
"887",139967,"BWI Airport - 7350 Mathison Way","7350 Mathison Way","BWI Airport,MD,21240","Anne Arundel","Penalty Settlement","PS-13-1936","05/22/2013","06/07/2013","Surface Water Discharge Unauthorized",NA,39.1705523871474,-76.6843501463071
"888",140101,"4325 Washington Blvd Halethorpe","4325 Washington Blvd","Halethorpe,MD,21227","Baltimore","Penalty Settlement","PS-14-1987","10/02/2013","02/25/2015","Sediment;Waterway Construction",NA,39.2386607135316,-76.68255005992
"889",140140,"US NSA-Ft Meade, Building 1","Rockenbach Road","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement","C-15-2190","12/15/2014","01/14/2015","Sediment",NA,39.1142015487169,-76.7502828436964
"890",140140,"US NSA-Ft Meade, Building 1","Rockenbach Road","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement",NA,"03/08/2017","05/02/2017","Sediment",NA,39.1142015487169,-76.7502828436964
"891",140154,"1218 N Broadway","1218 N Broadway, B B Broadway LLC","Baltimore City,MD,21218","Baltimore City","Penalty Settlement","PS-14-2084","05/08/2014","07/22/2014","Surface Water Discharge Unauthorized","Industrial Minor",39.3044370081858,-76.5949890099139
"892",140289,"Centurylink @ 111 Market Place 4th floor","111 Market Pl, 4th Fl, The Chandler Building","Baltimore City,MD,21202","Baltimore City","Penalty Settlement","PS-14-1981","08/09/2013","09/24/2013","Surface Water Discharge Unauthorized","Industrial Minor",39.2874499917863,-76.6062200054124
"893",140293,"Wolfe Terrace Apartments","312 Maple Ave","Berlin,MD,21811","Worcester","Penalty Settlement","PS-17-2461","05/09/2017","06/21/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.3231800091288,-75.20433001932
"894",140392,"Teegarden, 5402 Buffalo Road-NTW","5402 Buffalo Rd","Mount Airy,MD,21771","Frederick","Consent Order",NA,"04/30/2018","06/07/2019","Sediment",NA,39.4264509901943,-77.1392809678471
"895",140395,"Homefield Neighborhood","St. Linus Dr","Waldorf,MD,20602","Charles","Penalty Settlement",NA,"07/29/2013","11/21/2013","Notice of Intent","Notice of Intent (Construction)",38.5617148240207,-76.9074749317602
"896",140425,"SMR Investments LLC","310 Gay St, District Court Bldg","Cambridge,MD,21613","Dorchester","Consent Order","CA-14-1968","07/22/2013","09/22/2014","Surface Water Discharge Permit","Municipal Minor",38.570292009034,-76.0761399827722
"897",140425,"SMR Investments LLC","310 Gay St, District Court Bldg","Cambridge,MD,21613","Dorchester","Stipulated Penalty","SP-14-2098","06/10/2014","07/08/2014","Surface Water Discharge Permit","Municipal Minor",38.570292009034,-76.0761399827722
"898",140462,"West River Gardens LLC","5346 Muddy Creek RD","West River,MD,20778","Anne Arundel","Settlement Agreement","SA-14-2040","12/23/2013","01/06/2014","Sediment",NA,38.815095898336,-76.5541732366147
"899",140528,"4020 North Point Blvd","4020 North Point Blvd","Dundalk,MD,21222","Baltimore","Penalty Settlement","PS-14-1979","08/06/2013","08/06/2013","Notice of Intent","Notice of Intent (Construction)",39.2685500158533,-76.4685050006927
"900",140577,"Oxon Hill Village SSO","5792 Virginia Ave","Oxon Hill,MD,20745","Prince George's","Complaint & Penalty","SAP-15-2214","12/15/2014","03/02/2015","Sediment;Surface Water Discharge Unauthorized","Municipal Minor",38.8113908132479,-76.9685799139293
"901",140577,"Oxon Hill Village SSO","5792 Virginia Ave","Oxon Hill,MD,20745","Prince George's","Settlement Agreement","SAP-15-2214","02/19/2015","03/02/2015","Sediment;Surface Water Discharge Unauthorized",NA,38.8113908132479,-76.9685799139293
"902",140594,"Calvert Tract LLC-Cafritz Property","Baltimore Avenue (US 1) betwn Tuckerman St and Albion Rd","Riverdale,MD,20737","Prince George's","Penalty Settlement","C-16-2319","09/30/2015","10/13/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",38.9595968003386,-76.9177801998838
"903",140650,"Howard and Dolores Ruskie","5757 Shookstown Road","Frederick,MD,21701","Frederick","Consent Order","CO-13-1952","06/27/2013","08/12/2013","Surface Water Discharge Unauthorized",NA,39.4360250089146,-77.4676629792946
"904",140650,"Howard and Dolores Ruskie","5757 Shookstown Road","Frederick,MD,21701","Frederick","Penalty Settlement","CO-13-1952","06/27/2013","08/12/2013","Surface Water Discharge Unauthorized",NA,39.4360250089146,-77.4676629792946
"905",140668,"New Asia Restaurant, Inc.","1 York Street","Taneytown,MD,21787","Carroll","Complaint & Penalty","AP-12-1542","12/19/2011","02/10/2014","Surface Water Discharge Unauthorized",NA,39.6599320044138,-77.1763029958014
"906",140711,"Barton Hall Lot 3","End of Hodges Rd","Abell,MD,20606","St. Mary's","Settlement Agreement","SAP-18-2538","06/22/2018","10/04/2018","Tidal Wetlands",NA,38.2470100002758,-76.7390799996022
"907",140751,"Accident Sanitary Sewer","104 S North St","Accident,MD,21520","Garrett","Penalty Settlement","C-14-1999","09/23/2013","11/12/2013","Sediment",NA,39.6289650212487,-79.3208489661322
"908",140801,"Hollander 95 Business Park","Hollander Ridge, East side of 62nd St","Baltimore City,MD,21224","Baltimore City","Penalty Settlement","PS-14-2009","09/30/2013","10/29/2013","Notice of Intent","Notice of Intent (Construction)",39.2854150001779,-76.5718199998724
"909",140826,"712 E Shore Rd","712 E Shore Rd","Pasadena,MD,21122","Anne Arundel","Penalty Settlement","PS-14-2020","10/04/2013","12/20/2013","Sediment;Tidal Wetlands",NA,39.1448940843035,-76.5499870730177
"910",140900,"Sassafras Rd","343 Sassafras Rd","Middle River,MD,21220","Baltimore","Penalty Settlement",NA,"07/29/2013","09/17/2013","Sediment",NA,39.3043500041907,-76.4289720063478
"911",140984,"Saint Charles High School","5305 Piney Church Rd","Waldorf,MD,20602","Charles","Penalty Settlement",NA,"07/12/2013","09/09/2013","Notice of Intent","Notice of Intent (Construction)",38.5671819876689,-76.9090529698805
"912",141048,"CSX Transportation JD To JONES HILL CSXT New Track MP CFP 118.5 To CFP 120.6 11-SF-0047/11SF0047","Defense Heights","Bladensburg,MD,20710","Prince George's","Penalty Settlement","C-15-2122","08/04/2014","09/30/2014","Notice of Intent;Sediment;Waterway Construction","Notice of Intent (Construction)",38.940815699899,-76.9333769995783
"913",141292,"Autumn Woods","Lofton Hill Rd, off Prospect Hill Rd","La Plata,MD,20646","Charles","Penalty Settlement","PS-15-2145","09/15/2014","09/15/2014","Notice of Intent","Notice of Intent (Construction)",38.5171044225076,-76.9364222749167
"914",141320,"Thurmont Community Ambulance Company","Jimtown Road/Lawyer Lane, west of Rt 550 (jimtown Road) between Lawyer Lane and Woodland Avenue","Thurmont,MD,21788","Frederick","Penalty Settlement","C-16-2401","06/07/2016","06/18/2016","Notice of Intent;Sediment","Notice of Intent (Construction)",39.622094999784,-77.410640000167
"915",141358,"Meadowlark Ave/Bluebird Ave","Meadowlark Ave","Hagerstown,MD,21742","Washington","Penalty Settlement","PS-14-2044","12/23/2013","01/17/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.6366687761717,-77.6529618883446
"916",141378,"Heron Grove Ct","6929 Heron Grove Ct","Parsonsburg,MD,21804","Wicomico","Complaint & Penalty","AP-15-2157","10/06/2014","11/09/2015","Sediment",NA,38.3819710129947,-75.4706509949976
"917",141378,"Heron Grove Ct","6929 Heron Grove Ct","Parsonsburg,MD,21804","Wicomico","Settlement Agreement","SAP-15-2274","06/26/2015","11/16/2015","Sediment",NA,38.3819710129947,-75.4706509949976
"918",141378,"Heron Grove Ct","6929 Heron Grove Ct","Parsonsburg,MD,21804","Wicomico","Penalty Settlement","PS-18-2497","11/20/2017","02/19/2018","Surface Water Discharge Unauthorized","Industrial Minor",38.3819710129947,-75.4706509949976
"919",141478,"Ponds 1522 Linthicum Rd","1522 Linthicum Rd","Dickerson,MD,20842","Montgomery","Penalty Settlement","C-15-2261","05/21/2015","06/04/2015","Notice of Intent;Sediment;Waterway Construction","Notice of Intent (Construction)",39.2775609807674,-77.3533080041749
"920",141554,"Storey","Hoyes Run Road","Mc Henry,MD,21541","Garrett","Penalty Settlement","C-14-2052","01/27/2014","05/01/2014","Sediment;Waterway Construction",NA,39.5521256516492,-79.3793984102013
"921",141563,"2630 N Salisbury Boulevard Shopping Center","2630 N Salisbury Blvd","Salisbury,MD,21801","Wicomico","Penalty Settlement","PS-15-2230","03/04/2015","03/26/2015","Surface Water Discharge Unauthorized","Notice of Intent (Construction)",38.4137450056314,-75.5683089677617
"922",141665,"Harvest Ridge Associates LLC","Autumn Crest Dr","Frederick,MD,21701","Frederick","Penalty Settlement","C-16-2324","10/07/2015","11/25/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",39.362444560314,-77.1941443682856
"923",141767,"MD DNR-North Point State Battlefield Park","8400 North Point Rd","Edgemere,MD,21219","Baltimore","Penalty Settlement","PS-15-2243","03/31/2015","05/11/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",39.2070270138905,-76.4264959916083
"924",141872,"W Old Baltimore Rd at Ten Mile Stream crossing","15000 West Old Baltimore Rd, 0.4 miles SE, 39.217725-77.316781","Boyds,MD,20841","Montgomery","Settlement Agreement","PS-15-2182","12/23/2014","02/03/2015","Sediment;Waterway Construction",NA,39.2131699850454,-77.3130890338212
"925",141885,"1023 Reece Rd","1023 Reece Rd","Severn,MD,21144","Anne Arundel","Penalty Settlement","PS-15-2236","03/13/2015","05/13/2015","Notice of Intent","Notice of Intent (Construction)",39.1295139815824,-76.6988410408351
"926",141937,"Maywood Lane WSSC pumping operation","Silver Hill Rd and Maywood La","Suitland,MD,20746","Prince George's","Penalty Settlement","C-14-2060","03/06/2014","03/27/2014","Sediment",NA,38.8424700495805,-76.9341498974723
"927",141989,"BGE Tipton Terminal Station","39.0937585 -76.7645354","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement",NA,"12/15/2014","01/09/2015","Non-Tidal Wetlands;Sediment",NA,39.1152862998556,-76.7417253997734
"928",141989,"BGE Tipton Terminal Station","39.0937585 -76.7645354","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement","PS-15-2265","06/04/2015","06/23/2015","Non-Tidal Wetlands;Sediment",NA,39.1152862998556,-76.7417253997734
"929",142220,"SMECO Sunderland Substation","275 Lower Marlboro Rd","Huntingtown,MD,20639","Calvert","Penalty Settlement",NA,"01/29/2014","02/18/2014","Sediment",NA,38.6626200142157,-76.6104259606918
"930",142234,"WRF & Son Port-a-Potty","4 Prospect Rd","Mount Airy,MD,21771","Frederick","Settlement Agreement","SAP-15-2141","09/09/2014","02/29/2016","Surface Water Discharge Unauthorized",NA,39.377883979894,-77.1547490156052
"931",142239,"Charles Street Overlook","east of Hickory Ln, north side of MD Rte 6","La Plata,MD,20646","Charles","Penalty Settlement","C-16-2352","10/09/2015","03/03/2016","Sediment",NA,38.5295800002058,-76.9775499998764
"932",142269,"Spring Ridge Middle School Upgrades","38.212276 -76.401557","Lexington Park,MD,20653","St. Mary's","Penalty Settlement","PS-15-2186","12/02/2014","12/30/2014","Notice of Intent","Notice of Intent (Construction)",38.2621599999525,-76.4655399997063
"933",142314,"Oak Forest Ave","303 Oak Forest Ave","Catonsville,MD,21228","Baltimore","Penalty Settlement",NA,"03/25/2014","04/01/2014","Sediment",NA,39.2616390107325,-76.7472769585848
"934",142316,"Sewage Spill at Stormwater Management pond behind 1681 Gemini Dr Sykesville","1681 Gemini Dr","Sykesville,MD,21784","Carroll","Penalty Settlement","PS-15-2260","06/30/2015","07/31/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.3930680071033,-76.9401690257959
"935",142317,"Downtown Columbia Warfield Parcels C and D","10000 Town Center Ave","Columbia,MD,21044","Howard","Penalty Settlement","PS-14-2075","03/28/2014","04/21/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.2140059958383,-76.8659239709443
"936",142378,"WSSC-Susanna Lane","Rear of 8721 Susanna Lane","Chevy Chase,MD,20813","Montgomery","Penalty Settlement","C-14-2106","06/16/2014","06/25/2014","Sediment;Waterway Construction",NA,38.9986060041323,-77.0642719865762
"937",142387,"Hanover Crossing","7460 New Ridge Rd","Hanover,MD,21076","Anne Arundel","Penalty Settlement","C-14-2087","05/08/2014","05/27/2014","Notice of Intent","Notice of Intent (Construction)",39.1695430175197,-76.7082890385982
"938",142548,"Freedom District WWTP ENR Upgrades","1301 Raincliffe Rd, 39.362641 -76.947495","Sykesville,MD,21784","Carroll","Consent Order","CO-12-1512","11/09/2011","12/18/2019","Surface Water Discharge Permit",NA,39.3620509839123,-76.9466499968717
"939",142548,"Freedom District WWTP ENR Upgrades","1301 Raincliffe Rd, 39.362641 -76.947495","Sykesville,MD,21784","Carroll","Stipulated Penalty","SP-20-2623","11/13/2019","12/17/2019","Surface Water Discharge Permit","Municipal Major",39.3620509839123,-76.9466499968717
"940",142665,"CE DPW-Principio Sanitary Sewer Subdistrict North Interceptor","Principio Parkway East, Principio Parkway East","North East,MD,21901","Cecil","Penalty Settlement","C-16-2325","10/06/2015","11/12/2015","Sediment",NA,39.5978169958661,-75.9920298073368
"941",142668,"Shymansky property","corner of Hill Road and Cobb Island Road","Newburg,MD,20664","Charles","Penalty Settlement","PS-14-2112","05/27/2014","06/22/2015","Tidal Wetlands",NA,38.2692800543968,-76.8529599330232
"942",142669,"2335 Cape Leonard Drive","2335 Cape Leonard Drive","Saint Leonard,MD,20685","Calvert","Penalty Settlement","PS-15-2139","09/04/2014","10/08/2014","Tidal Wetlands",NA,38.4050450092456,-76.492542958295
"943",142671,"WLR Automotive Group","2260 Solomons Island Road","Huntingtown,MD,20639","Calvert","Penalty Settlement","SP-18-2532","05/16/2018","06/06/2018","Groundwater Discharge Permit",NA,38.5828334396145,-76.6050361516321
"944",142794,"PointsReach/BuildingB/OceanPines","Points Reach (Condos), Tax Map 0021, Parcel 0317, forested area behind Building B","Berlin,MD,21811","Worcester","Settlement Agreement","SAP-15-2184","12/04/2014","04/23/2015","Non-Tidal Wetlands",NA,38.3917213997911,-75.1612663997702
"945",143022,"Oliver Property, Ditch and Road through forested area","Melson Rd, East of the intersection of Rum Ridge Road","Delmar,MD,21875","Wicomico","Penalty Settlement","PS-15-2446","04/17/2015","05/07/2015","Non-Tidal Wetlands",NA,38.4513900000545,-75.5754250001326
