"","Site.No","Site.Name","Street.Address","County","City..State.Zip","Type"
"8997",164315,"Exterior Work at Biazzi Complex","38.5796, -77.1894, Naval Support Facility, (southeast of Nitramine Way/Biazzi Rd intersection)","Charles","Indian Head,MD,20640","Compliance"
"8998",63689,"SHA MD 200 - Intercounty Connector Contract 'A'","MD 115 (MUNCASTER MILL RD),.5 MI W OF 28","Montgomery","Rockville,MD,20855","Compliance"
"8999",31984,"Carousel Resort Hotel & Condominiums","11700 Coastal Hwy","Worcester","Ocean City,MD,21842","Compliance"
"9000",150067,"Duncan Smith","Black Oak Boat Access Point, No. Branch Potomac River","Allegany","Rawlings,MD,21557","Compliance"
"9001",132884,"Armistead Run","4700 Blk Erdman Ave, Orville Ave & Hoffman St","Baltimore City","Baltimore,MD,21205","Compliance"
"9002",64296,"Juleo, LLC","325 Cleat St","Queen Anne's","Stevensville,MD,21666","Compliance"
"9003",63851,"Willow Branch Farms, LLC","S OF HAYDEN CLARK CORNER RD @ WILLOW BRA, Hayden Clark Corner Rd","Queen Anne's","Centreville,MD,21617","Compliance"
"9004",37321,"Carl L Miller","12410 Old Annapolis Rd","Frederick","Mount Airy,MD,21771","Compliance"
"9005",155571,"HO Dept Rec and Parks - Font Hill Park","Font Hill Drive","Howard","Ellicott City,MD,21042","Compliance"
"9006",169743,"Thomas & Tracy Collins Property","4180 Rupp Rd","Carroll","Manchester,MD,21102","Compliance"
"9007",169738,"10543 Woodsboro Rd","Roby Malandrucco, 10543 Woodsboro Rd","Frederick","Woodsboro,MD,21798","Compliance"
"9008",16337,"W. Paul Martin District Court & Multi-service Center","201 Baptist Street","Wicomico","Salisbury,MD,21801-4972","Compliance"
"9009",155348,"HO DPW-Willow Bend Sewer Rehabilitation","Grey Rock Drive, approx 1.15 miles, stream on the right","Howard","Ellicott City,MD,21042","Compliance"
"9010",155246,"Locust Thicket Investors, LLC-The Park at Locust Thicket","5995 Meadowridge Road","Howard","Elkridge,MD,21075","Compliance"
"9011",156314,"Lev Feinstein","12097 Frederick Road","Howard","Ellicott City,MD,21042","Compliance"
"9012",162449,"Heather Moretz","333 Sayers Forest Dr","Queen Anne's","Queenstown,MD,21658","Compliance"
"9013",169739,"6041 B Old Bohn Rd","Mike Marley, 6041B Old Bohn Rd","Frederick","Mount Airy,MD,21771","Compliance"
"9014",25740,"Quikrete Company","700 Mountain Hill Rd","Cecil","Perryville,MD,21903","Compliance"
"9015",126734,"Frankenhof, Minnie/revetment, Groin And","5023 Rippling Rd","Dorchester","Cambridge,MD,21613","Compliance"
"9016",168569,"Whispering Valley SWM Pond Retrofit","Michellle Road","Carroll","Manchester,MD,21102","Compliance"
"9017",165504,"CO - Board of Education","11348 Greensboro Rd","Caroline","Denton,MD,21629","Compliance"
"9018",159213,"Daniel and Candace Levin","20642 Waterside Dr","St. Mary's","Leonardtown,MD,20650","Compliance"
"9019",129,"Terumo Medical Corporation","950 Elkton Boulevard","Cecil","Elkton,MD,21921","Compliance"
"9020",152760,"WSSC-Watts Branch","Watts Branch-various locations","Prince George's","Laurel,MD,20707","Compliance"
"9021",10636,"CONSOL Marine Terminals, LLC","3800 Newgate Ave","Baltimore City","Baltimore,MD,21224","Compliance"
"9022",167412,"Dominic and Marie Davis","1490 Simmons Pl","Charles","Bryans Road,MD,20616","Compliance"
"9023",152040,"Trinity Homes-Pinehurst","10122 Stansfield Road","Howard","Laurel,MD,20723","Compliance"
"9024",164545,"Longwoods Lot 2","Longwoods Road, Longwoods Rd","Talbot","Easton,MD,21601","Compliance"
"9025",19687,"Bohemia Bay Yacht Harbor","1026 Town Point Rd","Cecil","Chesapeake City,MD,21915","Compliance"
"9026",169741,"WalMart Dundalk Store # 2435-09","2399 Northpoint Blvd","Baltimore","Dundalk,MD,21222","Compliance"
"9027",158602,"PEPCO Holdings, Inc-Game Preserve Road to Montgomery Village Substation 56","Overhead transmission lines from Game Preserve Rd to Montgomery Village Substation","Montgomery","Gaithersburg,MD,20878","Compliance"
"9028",168815,"Puerto Azul LLC","6021 Hopkins Neck Rd","Talbot","Easton,MD,21601","Compliance"
"9029",83719,"MD SHA-Bridge No 1701700-MD 19A","MD 19A OVER SOUTHEAST CREEK-BRIDGE 17017","Queen Anne's","Church Hill,MD,21623","Compliance"
"9030",151881,"Orchard Estates","Browns Bridge Rd","Howard","Highland,MD,20777","Compliance"
"9031",169593,"3986 View Top Road","3986 View Top Road","Howard","Ellicott City,MD,21042","Compliance"
"9032",166369,"Goldsborough Neck Road Reconstruction",", Mistletoe and McKenna Rd","Talbot","Easton,MD,21601","Compliance"
"9033",164175,"All Kinds Veterinary Hospital",", 44950 Point Lookout Rd","St. Mary's","Callaway,MD,20620","Compliance"
"9034",169749,"Marshall Hall boat ramp","1005 Marshall Hall Road","Charles","Bryans Road,MD,20616","Compliance"
"9035",169745,"Siesta Homes","4218 Reisterstown Rd","Not Yet Determined","Baltimore,MD,21215","Compliance"
"9036",25741,"FedEx Freight WMD - New England Motor Freight Inc","LOD","Cecil","North East,MD,21901","Compliance"
"9037",167151,"Cedar Point Wetland Restoration","38.4459, -77.0479, (SW of Bretland Rd/Goose Bay Lane intersection)","Charles","Hill Top,MD,20693","Compliance"
"9038",169913,"PAF 21-2161/3209 Jarrettsville Pike","near 3209 Jarrettsville Pike","Harford","Jarrettsville,MD,21084","Compliance"
"9039",169918,"Jason D. Plummer","3015 Solomons Island Road","Anne Arundel","Edgewater,MD,21037","Compliance"
"9040",125610,"Leon, Larry/pier And Pilings","22166 BAYSHORE RD","Talbot","Wittman,MD,21676","Compliance"
"9041",169746,"Stephen S and Lindsey Baer","North Island Road","Talbot","Trappe,MD,21673","Compliance"
"9042",158603,"Chelsea Marciniak","204 Toughey Drive","Queen Anne's","Stevensville,MD,21666","Compliance"
"9043",169742,"Marston Rd Car Wash","Marston Rd","Baltimore","Windsor Mill,MD,21244","Compliance"
"9044",99404,"Penske Truck Leasing/jessup Site/lot","8685 Washington Blvd","Howard","Jessup,MD,20794","Compliance"
"9045",162070,"Delmarva - Paw Paw Creek","Bayside Rd over Pawpaw Creek","Worcester","Snow Hill,MD,21863","Compliance"
"9046",103921,"Matthew Brodak","20022 Nanticoke Road","Wicomico","Nanticoke,MD,21840","Compliance"
"9047",160402,"University of Maryland - Baltimore Campus Electrical Distribution Upgrades","University of Maryland Baltimore Campus, 39.29, -76.63","Baltimore City","Baltimore City,MD,21201","Compliance"
"9048",169919,"3205 Lewis Place LLC","Tax Map 13, Parcel 156 and Tax Map 6, Parcel 49, North side of Billingsley Road, west of Mattawoman Creek bridge","Charles","Bryans Road,MD,20616","Compliance"
"9049",170035,"5913 Boyers Mill Rd Pond","Foster Property, 5913 Boyers Mill Rd","Frederick","New Market,MD,21774","Compliance"
"9050",136008,"11348MarinaDr/STMartinsByTheBay/CervProperty","11348 Marina Dr, Dick Cerv","Worcester","Berlin,MD,21811","Compliance"
"9051",110353,"OC Seacrets","117 West 49th Street","Worcester","Ocean City,MD,21842","Compliance"
"9052",170036,"8423 Yellowsprings Rd","Yankee Land LLC, 8423 yELLOWSPRINGS RD","Frederick","Frederick,MD,21701","Compliance"
"9053",169173,"Agricopia- Lot 221","1090 Agricopia Drive","Charles","La Plata,MD,20646","Compliance"
"9054",169357,"Royal Farms #384 Fruitland","101 West Cedar Lane","Wicomico","Fruitland,MD,21826","Compliance"
"9055",169175,"Agricopia Lot 222","1092 Agricopia Drive","Charles","La Plata,MD,20646","Compliance"
"9056",167445,"Building Demolition and Site Improvements off Fowler and Thomas Roads","38.5921, -77.1714, (SW of Fowler Rd/Thomas Rd intersection)","Charles","Indian Head,MD,20640","Compliance"
"9057",106152,"Abaris Realty - Grosvenor Park Maintenance Trust","W side of Rockville Pike","Montgomery","Rockville,MD,20850","Compliance"
"9058",130754,"Sassafras Meadows Subdivision","-","Wicomico","Salisbury,MD,21801","Compliance"
"9059",169748,"PAF 21-3019","Frederick Road and Ridgemont Ave","Montgomery","Rockville,MD,20850","Compliance"
"9060",169464,"Tower II Self Storage","3735 Leonardtown Road","Charles","Waldorf,MD,20601","Compliance"
"9061",119115,"FR CO DPW - Improvements to Gas House Pike at Linganore Creek","Gas House Pike at Linganore Creek","Frederick","New Market,MD,21774","Compliance"
"9062",156859,"Naylor Mill Radio Tower","Naylor Mill Rd, Naylor Mill Rd","Wicomico","Salisbury,MD,21801","Compliance"
"9063",170075,"Day & Sons ,Inc.","Day & Sons Inc, 200 Werner Rd","Anne Arundel","Curtis Bay,MD,21226","Compliance"
"9064",169922,"PAF 21-3021/Clearing at 13417 Valley Dr","13417 Valley Dr.","Montgomery","Rockville,MD,20850","Compliance"
"9065",167091,"2020 R&R Water-Arkansas Road","38.8083, -76.8842, Joint Base Andrews, (SE of Arkansas Rd/Concord Ave intersection)","Prince George's","Joint Base Andrews,MD,20762","Compliance"
"9066",169921,"PAF 21-3020/Dickerson C&O Canal Drainage","39.208317, -77.467189 and, 39.214498, -77.459362","Montgomery","Dickerson,MD,20842","Compliance"
"9067",170037,"Crum Property Piney Creek Rd","Carroll Crum, Piney Creek Rd, 200' S PA line","Carroll","Taneytown,MD,21787","Compliance"
"9068",156080,"Laurel Readiness Center - Parking Improvements","near Bovelder Dr, 39.05415, -76.855026","Prince George's","Laurel,MD,20708","Compliance"
"9069",163392,"USAMRAA-HQ","39.4353, -77.4283, Fort Detrick, (east of Chandler St/Douglas Dr intersection)","Frederick","Fort Detrick,MD,21702","Compliance"
"9070",66892,"Hunt Club South Phase 1","Hunters Way, 7 S Division St","Wicomico","Fruitland,MD,21826","Compliance"
"9071",65510,"Creekside East Subdivision","North Division St","Wicomico","Fruitland,MD,21826","Compliance"
"9072",156909,"QA DPW-Kent Island Sewer Project","103 Mattapex Plantation Ln","Queen Anne's","Stevensville,MD,21666","Compliance"
"9073",170038,"Hiney Rd stream crossing at 12702 Hiney Rd","12702 Hiney Rd","Carroll","Keymar,MD,21757","Compliance"
"9074",169653,"Stephen and Lindsey Baer","North Island Road","Talbot","Trappe,MD,21673","Compliance"
"9075",64742,"Cedar Commons","Cedar Commons, St Lukes Rd","Wicomico","Fruitland,MD,21826","Compliance"
"9076",169914,"Elkridge Crossing II","Elkridge Crossing Way","Howard","Elkridge,MD,21075","Compliance"
"9077",165874,"Redevelopment of Southstar Concrete Plant","23344 Three Notch Rd, 23344 Three Notch Rd","St. Mary's","California,MD,20619","Compliance"
"9078",162279,"RES - UT Talbots Branch","7820 Woodville Road, 39.44906, -77.18223","Frederick","Mount Airy,MD,21771","Compliance"
"9079",168755,"Greensboro Dollar General","13730 Greensboro Rd","Caroline","Greensboro,MD,21639","Compliance"
"9080",166976,"CL DPW - Bureau of Res Mgmt - Woodsyde SWM","Piney Ridge Pkwy btw Ash Grove Ct and White Birch Rd","Carroll","Eldersburg,MD,21784","Compliance"
"9081",170155,"Storm drain outfall @ end of South Linwood Avenue (PAF 21-2185)","End of South Linwood Avenue-storm drain outfall into the Inner Harbor","Not Yet Determined","Baltimore,MD,21224","Compliance"
"9082",32589,"Town of Easton, Maryland","14 S Harrison St","Talbot","Easton,MD,21601","Compliance"
"9083",73464,"Kettler Cedar Point Llc/revetment And Boat","27825 CEDAR POINT RD","Talbot","Easton,MD,21601","Compliance"
"9084",162720,"Susan Payne Et Al","Poplar Ln","Talbot","Royal Oak,MD,21662","Compliance"
"9085",162857,"MVA Headquarters Building Renovation - Glen Burnie","39.1976, -76.6102, MVA Headquarters - Glen Burnie","Anne Arundel","Glen Burnie,MD,21062","Compliance"
"9086",169437,"NorthPoint FHO Lot 12","Wesel Blvd, 1.76 mi. East of Halfway Blvd.","Washington","Hagerstown,MD,21740","Compliance"
"9087",169128,"Kent Island Library","200 Library Circle","Queen Anne's","Stevensville,MD,21666","Compliance"
"9088",170039,"One Man's Junk","7618 Devilbiss Bridge RD","Frederick","Frederick,MD,21701","Compliance"
"9089",8545,"Sassafras Harbor Marina","2 George St","Cecil","Georgetown,MD,21930","Compliance"
"9090",170079,"Cambridge Municipal Utilities Commission","Corner of Muse and Gay St.","Dorchester","Cambridge,MD,21613","Compliance"
"9091",159115,"Red Heifer Winery","12840 Red Heifer Winery Ln","Washington","Smithsburg,MD,21783-2107","Compliance"
"9092",162145,"Fairview Church of the Brethren Trust",", 11243 Chapel Rd","Talbot","Cordova,MD,21625","Compliance"
"9093",132720,"Somerset Landing","Somerset Landing & Northgate, Rte 13 S","Somerset","Princess Anne,MD,21853","Compliance"
"9094",89383,"Daren and Sandra Sealover","18986 McKays Cove Ln","St. Mary's","Leonardtown,MD,20650","Compliance"
"9095",37858,"Gerald Taylor Co., Inc.","12 W Potomac Pkwy","Washington","Williamsport,MD,21795","Compliance"
"9096",170040,"10025 Masser Rd Pond","Frank Chiaramonte, 10025 Masser Rd","Frederick","Frederick,MD,21702","Compliance"
"9097",158488,"MDTA-Contract No MR-3007-I 895A Harbor Tunnel Thruway Spur","I-895 Harbor Tunnel Thruway Spur from I-97 NB south of I-895 toll road; North of 695 W exit to 97 S, 39.204536, -76.628276","Anne Arundel","Glen Burnie,MD,21225","Compliance"
"9098",163865,"2600 Block Hafer Street","2600 Hafer Streer","Baltimore City","Baltimore City,MD,21223","Compliance"
"9099",64972,"Inverness Estates","MD 231","Charles","Hughesville,MD,20637","Compliance"
"9100",170080,"West Ocean City LLC","West of Intersection of Samuel Bowen Blvd and US Route 50 (East Bound)","Worcester","Berlin,MD,21811","Compliance"
"9101",21203,"Duffy Creek Marina","20 Duffy Creek Ln","Cecil","Georgetown,MD,21930","Compliance"
"9102",161555,"HO DPW - Woodcrest Dr SWM Pond Retrofit - Capital Project #D-1178","6340 Woodcrest Dr","Howard","Ellicott City,MD,21043","Compliance"
"9103",163682,"HO DPW - Woodcrest Dr","Woodcrest Dr","Howard","Ellicott City,MD,21043","Compliance"
"9104",151900,"QA Co. Parks & Recreation @ Davidson Farm Park","200 Davidson Farm Lane","Queen Anne's","Stevensville,MD,21666","Compliance"
"9105",96476,"Northrop Grumman","30899 Park Drive","Somerset","Princess Anne,MD,21853","Compliance"
"9106",168114,"George Thompson FHO","43865 Thompson Farm Ln","St. Mary's","Hollywood,MD,20636","Compliance"
"9107",165869,"RES - Blackwater Preservation LLC","17910 Aquasco Rd, 38.644035 -76.763939","Prince George's","Brandywine,MD,20613","Compliance"
"9108",170076,"Scientific Plant Service","6301 Blair Hill Ln","Not Yet Determined","Baltimore,MD,21209","Compliance"
"9109",11881,"W.L. Gore & Associates, Inc - Elk Mills V","105 Vieves Way","Cecil","Elkton,MD,21921","Compliance"
"9110",170082,"PAF 21-3022 ADELPHI PLAZA (SSO)","2340 East University Blvd","Prince George's","Hyattsville,MD,20783","Compliance"
"9111",169046,"7 Eleven Convenience Store and Gas Station","Westwood Dev, 31594 Fred Adkins Rd","Wicomico","Parsonsburg,MD,21849","Compliance"
"9112",170081,"20922 Caleb Jones Rd, Ewell, MD 21824","20922 Caleb Jones Rd,","Somerset","Ewell,MD,21824","Compliance"
"9113",14576,"Sacred Heart Home Inc","5805 Queens Chapel Rd","Prince George's","Hyattsville,MD,20782","Compliance"
"9114",165847,"Sandra A. Waynne, FHO",", Eastside Bushwood, Rd","St. Mary's","Chaptico,MD,20621","Compliance"
"9115",159362,"MD SHA-Structure 17073X0-MD 305 over Three Bridges Branch","MD 305 (Hope Road_ over Three Bridges Branch, 39.04519, -76.01730","Queen Anne's","Centreville,MD,21617","Compliance"
"9116",9097,"Turf Valley Country Club","NE Corner of intersection at Marriottsville Rd and MD 40, Resort Road Right of Way across fom Albeth Rd","Howard","Ellicott City,MD,21042","Compliance"
"9117",3657,"Lai East Division","1110 Business Pkwy South","Carroll","Westminster,MD,21157","Compliance"
"9118",156085,"City of Salisbury-West Gordy Road","West Gordy Road, approx 450 ft west of intersection at Darwin Dr and W Gordy Rd","Wicomico","Salisbury,MD,21801","Compliance"
"9119",146513,"MD SHA-Bridge No 1002900-MD 28-Deck Replacement","MD 28 over Monocacy River","Frederick","Dickerson,MD,20842","Compliance"
"9120",161298,"CH DPW-Ruth B Swann Memorial Park-Creedon Dr","3100 Ruth B Swann Dr, on Creedon Drive 0.45 to project site, 38.626884, -77.090361","Charles","Indian Head,MD,20640","Compliance"
"9121",169184,"Agricopia-Lot 152","1087 Agricopia Drive","Charles","La Plata,MD,20646","Compliance"
"9122",170141,"Burt-Branch Farm","39 Mount Hebron Road","Washington","Keedysville,MD,21756","Compliance"
"9123",18621,"D C Materials","3334 Kenilworth Ave, Ste B","Prince George's","Hyattsville,MD,20781","Compliance"
"9124",164438,"FR DPW - Clay St","Clay St from intersec of Ballenger Creek Pike to Intersect with Bank St","Frederick","Point Of Rocks,MD,21777","Compliance"
"9125",170128,"Hertz Car Rental","5732 Buckeystown Pike","Frederick","Frederick,MD,21704","Compliance"
"9126",168805,"Dundalk Marine Terminal Areas 1501 and1602 Containment Cap Maintenance","39.2425, -76.5195, (south of F St/14th St intersection)","Baltimore","Baltimore,MD,21222","Compliance"
"9127",168077,"Harve de Grace Demolition","39.5325, -76.1055, (south of 1st/Flinton Ave intersection)","Harford","Havre De Grace,MD,21078","Compliance"
"9128",170138,"PAF Bridge 213 over Bohemia River","213 Bridge over Bohemia River","Cecil","Earleville,MD,21919","Compliance"
"9129",34603,"R L Jackson Inc","1379 Jacob Tome Hwy","Cecil","Port Deposit,MD,21904","Compliance"
"9130",169596,"Gullo Property Fill Site","New Windsor Road","Carroll","New Windsor,MD,21776","Compliance"
"9131",170130,"PAF 21-3024 / Ashton Pond","17830 Pond Road","Montgomery","Ashton,MD,20861","Compliance"
"9132",127854,"Jones, Joseph And Helen/revetment","6319 BOZMAN NEAVITT RD","Talbot","Neavitt,MD,21652","Compliance"
"9133",170131,"PAF 21-3025","8913 Brookville RD","Montgomery","Silver Spring,MD,20910","Compliance"
"9134",170143,"Spring Village - D.R. Horton","Spring Village, Creekbed Circle","Wicomico","Salisbury,MD,21804","Compliance"
"9135",36319,"Mr Tire #628","901 N East St","Frederick","Frederick,MD,21701","Compliance"
"9136",170129,"27 Franklin St","27 Franklin St","Frederick","Frederick,MD,21701","Compliance"
"9137",166047,"Taxiway T2 Construction","39.1801, -76.6748, BWI-Taxiway T2, (west of Friendship Rd)","Anne Arundel","BWI Airport,MD,21240","Compliance"
"9138",167402,"JBA - Taxiway Whiskey 6","38.7933, -76.8755, (East of San Antonio Blvd/Rex Rd intersection)","Prince George's","Joint Base Andrews,MD,20762","Compliance"
"9139",170163,"Alexander Lednow Property","3205 Robbins Road","Dorchester","Crapo,MD,21626","Compliance"
"9140",170243,"1341 Francis Scott Key -PAF","1341 Francis Scott Key Highway","Carroll","Keymar,MD,21757","Compliance"
"9141",36461,"Edward Edelen Property, Ch-96","8701 Purcell Road","Charles","Port Tobacco,MD,20677","Compliance"
"9142",170157,"3611 Petersville Road","3611 Petersville Rd","Frederick","Knoxville,MD,21758-0000","Compliance"
"9143",161134,"Replacement of Steam & Condensate Lines Between Manhole 93, and Buildings 12A, 12B, 22","39, -77, (north of Service Rd and west of Center Dr)","Montgomery","Bethesda,MD,20892","Compliance"
"9144",155838,"MD SHA-Dual Bridges 0303403/0303404 and 0303503/03","US 40 over Little Gunpowder Falls and Gunpowder Falls","Harford","Joppa,MD,21085","Compliance"
"9145",3221,"DAP Products, Inc","4630 North Point Blvd","Baltimore","Sparrows Point,MD,21219","Compliance"
"9146",170168,"Trainor, Paul and Patricia",NA,"Not Yet Determined",NA,"Compliance"
"9147",164321,"Tanyard Cove South Holdings, LLC","Marley Neck Blvd , intersection Oak Creek Dr and Marley Neck Blvd. Outfall extends from intersection NW to Tanyard Cove, 39.1750 -76.5709","Anne Arundel","Glen Burnie,MD,21060","Compliance"
"9148",158511,"Carroll Interlocking Expansion","1679-1699 S Monroe St, 39.2713 -76.6357","Baltimore City","Baltimore,MD,21230","Compliance"
"9149",141361,"Big Cork Vineyard","4236 Main St","Washington","Rohrersville,MD,21779","Compliance"
"9150",169439,"NorthPoint Development Building 3","1050 Wesel Blvd, Situated along the North side of Wesel Boulevard","Washington","Hagerstown,MD,21740","Compliance"
"9151",724,"Medimmune","1 Medimmune Way","Montgomery","Gaithersburg,MD,20878","Compliance"
"9152",161108,"Aquafin Inc","505 Blue Ball Rd Bldg, Suite 160","Cecil","Elkton,MD,21921","Compliance"
"9153",166549,"Rise Up Coffee Roasters","618 Dover Road","Talbot","Easton,MD,21601","Compliance"
"9154",170225,"Cynthia Stivey-Rental Property","6105 Lucente Avenue","Prince George's","Suitland,MD,20746","Compliance"
"9155",170229,"NPS Glen, Leaking sewer","2800 Hume Drive","Montgomery","Silver Spring,MD,20910","Compliance"
"9156",170234,"S2 Dynamics","12058 Parklawn Drive","Montgomery","Rockville,MD,20852","Compliance"
"9157",170235,"DPs Automotive","12070 Parklawn Drive","Montgomery","Rockville,MD,20852","Compliance"
"9158",117216,"Bragunier, Donald","Indian Springs Road","Washington","Clear Spring,MD,21722","Compliance"
"9159",160478,"Glasstech Materials","10033 Governor Lane Blvd","Washington","Williamsport,MD,21795","Compliance"
"9160",162408,"Schaefers Canal House Parking Lot C",", 200 Blk Biddle St","Cecil","Chesapeake City,MD,21915","Compliance"
"9161",169665,"WaWa Edgewood","2200 Pulaski Highway, 39.43692°, -76.30694°","Harford","Edgewood,MD,21040","Compliance"
"9162",170276,"WALBRIDGE REAL ESTATE INVESTMENTS LLC","258 Brookwood Ave","Talbot","Easton,MD,21601","Compliance"
"9163",169953,"Addison Road Station","38.8858, -76.8961, Addison Rd Metro Station, 100 Addison Rd S.","Prince George's","Capitol Heights,MD,20743","Compliance"
"9164",168966,"Huntingfields Subdivision","Washington St","Worcester","Snow Hill,MD,21863","Compliance"
"9165",170327,"Richard Read","1105 Braddock Road","Allegany","LaVale,MD,21502","Compliance"
"9166",170429,"Nicker's Retreat","1730 Bayside Beach Rd","Anne Arundel","Pasadena,MD,21122","Compliance"
"9167",162782,"Tiller Estates",", W Reservoir Rd","Cecil","Perryville,MD,21903","Compliance"
"9168",34633,"T. Emerick Trucking & Supply","12315 Rock Cut Rd","Allegany","Corriganville,MD,21524","Compliance"
"9169",169188,"Replace Steam and Condensate from Manhole 85 to Bldg 2","39.0025, -77.1007, (NE of Center Dr/Memorial Dr intersection)","Montgomery","Bethesda,MD,20892","Compliance"
"9170",168242,"NIH - Utility Vault and Patient Parking Garage","39.0028, -77.1069, (just NW of Convent Dr/Center Dr intersection)","Montgomery","Bethesda,MD,20892","Compliance"
"9171",164086,"B.C. Brewery","10950 Gilroy Rd, Ste F","Baltimore","Hunt Valley,MD,21031","Compliance"
"9172",166171,"Gilbane Development Co - Northgate and Recreational Trail","8430 and 8510 Baltimore Ave","Prince George's","College Park,MD,20740","Compliance"
"9173",150148,"Claggetts Mill","north and south side of Poffen","Washington","Hagerstown,MD,21740","Compliance"
"9174",10661,"Daily Express, Inc","4035 Old North Point Rd","Baltimore","Dundalk,MD,21222","Compliance"
"9175",170414,"K4K LLC","1214 Whittington Dr.","Anne Arundel","Lothian,MD,20711","Compliance"
"9176",151150,"Benjer, Inc. - Middle River","110 Earls Road","Baltimore","Middle River,MD,21220","Compliance"
"9177",124816,"Pleasant Valley Community Fire Co/pond","2030 South Pleasant Valley Rd","Carroll","Westminster,MD,21158","Compliance"
"9178",170396,"Hanover Pike, 626, PAF","626 Hanover Pike","Carroll","Hampstead,MD,21074","Compliance"
"9179",167602,"Planet Fitness","28579 Marlboro Rd","Talbot","Easton,MD,21601","Compliance"
"9180",170425,"Myung Kee","5930 Horn Point Road","Dorchester","Cambridge,MD,21613","Compliance"
"9181",106243,"Sundays Manor Farm/cattle Crossing","6912 SUNDAYS LANE; SUNDAYS MANOR FARM","Frederick","Frederick,MD","Compliance"
"9182",170475,"Hurley's Golf Carts","1114 Old Mountain Rd S","Harford","Joppa,MD,21085","Compliance"
"9183",168964,"Brad and Maranda Schultz","181 Bentley St, 39.661450, -77.161500","Carroll","Taneytown,MD,21787","Compliance"
"9184",165773,"Michael Hepburn","714 E Shore Rd","Anne Arundel","Pasadena,MD,21122","Compliance"
"9185",170466,"5050 Shafer Mill Stream storation","5050 Shaffer Mill Road","Carroll","Manchester,MD,21102","Compliance"
"9186",74552,"US Coast Guard - Curtis Creek","2401 Hawkins Point Rd","Anne Arundel","Curtis Bay,MD,21226","Compliance"
"9187",166360,"CL DPW - Bureau of Res Mgmt - Bear Branch","2555 Mayberry Road","Carroll","Westminster,MD,21158","Compliance"
"9188",169134,"MO DOT - Homecrest Rd Culvert M0501","14964-14950 Homecrest Rd","Montgomery","Aspen Hill,MD,20906","Compliance"
"9189",168323,"Wetland Creation at NSF Indian Head - Stump Neck Annex","38.5417, -77.2122, (south of Roach Rd/Old Range Rd intersection)","Charles","Indian Head,MD,20640","Compliance"
"9190",168583,"NSF Indian Head - Stump Neck Site 3 Firebreak","Archer Rd, 38.5509 -77.2043","Charles","Indian Head,MD,20640","Compliance"
"9191",169011,"MO DOT - Alexander Manor Dr","16501 Alexander Manor Dr","Montgomery","Silver Spring,MD,20905","Compliance"
"9192",170510,"Columbia Container","4311 Erdman Ave","Baltimore City","Baltimore City,MD,21213","Compliance"
"9193",170505,"Avonshire HOA","2915 Lisage Way","Montgomery","Silver Spring,MD,20901","Compliance"
"9194",144866,"Bradshaw Construction","175 W Liberty Rd","Carroll","Eldersburg,MD,21784","Compliance"
"9195",168122,"Talbot County Parks and Recreation","33000 Reese's Landing Rd","Talbot","Cordova,MD,21625","Compliance"
"9196",158923,"Belvedere Estates","-","Howard","West Friendship,MD,21794","Compliance"
"9197",9346,"CSX Transportation Inc","800 Chesapeake Ave","Baltimore","Brooklyn,MD,21225","Compliance"
"9198",153040,"Preserves at Clarksville","6620 Ten Oaks Rd","Howard","Clarksville,MD,21029","Compliance"
"9199",158929,"Lake Sediment Placement Site","Lot 152/Parcel 442 Murray Hill Rd Village of Kings Contrivance","Howard","Columbia,MD,21046","Compliance"
"9200",154856,"Emerson Corporate Commons North Bldg. IX, Section 3, Area 7, Parcel A-1","South Eternal Rings Dr","Howard","Laurel,MD,20723","Compliance"
"9201",347,"TAMKO Building Products LLC","4500 Tamko Drive","Frederick","Frederick,MD,21703","Compliance"
"9202",166048,"City of Salisbury - Market St Riverbank","W Market St","Wicomico","Salisbury,MD,21801","Compliance"
"9203",156318,"Washington Gas and Light-PG County and District of Columbia Line","various locations, From US 301and Frank Tippett Rd in Brandywine, MD to Brightseat Rd off I-95 in Landover, MD","Prince George's","Brandywine,MD,20613","Compliance"
"9204",166346,"Hansen Builders LLC","Brooks Dr, Lot 11","Talbot","Easton,MD,21601","Compliance"
"9205",170572,"1000 Edmondson LLC","1000 Edmondson Ave","Baltimore","Catonsville,MD,21228","Compliance"
"9206",170600,"Chubby's BBQ","16430 Old Frederick Rd","Frederick","Emmitsburg,MD,21727","Compliance"
"9207",170558,"Paul Nelson","5131 Brooks Rd","Dorchester","Woolford,MD,21613","Compliance"
"9208",170550,"Atkinson Property","2635 Thomas Run Rd","Harford","Bel Air,MD,21015-1218","Compliance"
"9209",168620,"Antietam National Battlefield Visitors Center Rebuild","39.4742, -77.7445","Washington","Sharpsburg,MD,21782","Compliance"
"9210",170623,"Hessong Bridge rd pondss","S of 10910 Hessong Bridge Rd","Frederick","Thurmont,MD,21788","Compliance"
"9211",170570,"Bryants Nursery Rd, 750","750 Bryants Nursery Road","Montgomery","Silver Spring,MD,20905","Compliance"
"9212",36558,"Acme Biomass Reduction, Inc","21601 New Hampshire Ave","Montgomery","Brookeville,MD,20833","Compliance"
"9213",170573,"2230 Harris Mill Rd","2230 Harris Mill Rd","Baltimore","Parkton,MD,21120","Compliance"
"9214",31717,"Town of Trappe Water Supply System","Trappe & Vicinity","Talbot","Trappe,MD,21673","Compliance"
